Start_Time	End_Time	Peak	DC_amp
202405130903	202405130903	9865.0,9979.0	-2.335800
202405130903	202405130903	9991.0,10103.0	0.000000
202405130903	202405130903	10115.0,10229.0	2.160625
202405130903	202405130903	10241.0,10353.0	0.000000
202405130903	202405130903	10365.0,10479.0	-2.335361
202405130903	202405130903	10491.0,10603.0	0.000000
202405130903	202405130903	10615.0,10729.0	2.161468
202405130903	202405130903	10741.0,10853.0	0.000000
202405130903	202405130903	10865.0,10979.0	-2.334993
202405130903	202405130903	10991.0,11103.0	0.000000
202405130903	202405130903	11115.0,11229.0	2.161607
202405130903	202405130903	11241.0,11353.0	0.000000
202405130903	202405130903	11365.0,11479.0	-2.335002
202405130903	202405130903	11491.0,11603.0	0.000000
202405130903	202405130903	11615.0,11729.0	2.161515
202405130903	202405130903	11741.0,11853.0	0.000000
202405130903	202405130903	11865.0,11979.0	-2.334956
202405130903	202405130903	11991.0,12103.0	0.000000
202405130903	202405130903	12115.0,12229.0	2.161478
202405130903	202405130903	12241.0,12353.0	0.000000
202405130903	202405130903	12365.0,12479.0	-2.335499
202405130903	202405130903	12491.0,12603.0	0.000000
202405130903	202405130903	12615.0,12729.0	2.161025
202405130903	202405130903	12741.0,12853.0	0.000000
202405130903	202405130903	12865.0,12979.0	-2.335691
202405130903	202405130903	12991.0,13103.0	0.000000
202405130903	202405130903	13115.0,13229.0	2.161134
202405130903	202405130903	13241.0,13353.0	0.000000
202405130903	202405130903	13365.0,13479.0	-2.335584
202405130903	202405130903	13491.0,13603.0	0.000000
202405130903	202405130903	13615.0,13729.0	2.161204
202405130903	202405130903	13741.0,13853.0	0.000000
202405130903	202405130903	13865.0,13979.0	-2.335783
202405130903	202405130903	13991.0,14103.0	0.000000
202405130903	202405130903	14115.0,14229.0	2.161163
202405130903	202405130903	14241.0,14353.0	0.000000
202405130903	202405130903	14365.0,14479.0	-2.335531
202405130903	202405130903	14491.0,14603.0	0.000000
202405130903	202405130903	14615.0,14729.0	2.161093
202405130903	202405130903	14741.0,14853.0	0.000000
202405130903	202405130903	14865.0,14979.0	-2.335473
202405130903	202405130903	14991.0,15103.0	0.000000
202405130903	202405130903	15115.0,15229.0	2.161369
202405130903	202405130903	15241.0,15353.0	0.000000
202405130903	202405130903	15365.0,15479.0	-2.335347
202405130903	202405130903	15491.0,15603.0	0.000000
202405130903	202405130903	15615.0,15729.0	2.161505
202405130903	202405130903	15741.0,15853.0	0.000000
202405130903	202405130903	15865.0,15979.0	-2.335541
202405130903	202405130903	15991.0,16103.0	0.000000
202405130903	202405130903	16115.0,16229.0	2.161185
202405130903	202405130903	16241.0,16353.0	0.000000
202405130903	202405130903	16365.0,16479.0	-2.335666
202405130903	202405130903	16491.0,16603.0	0.000000
202405130903	202405130903	16615.0,16729.0	2.160703
202405130903	202405130903	16741.0,16853.0	0.000000
202405130903	202405130903	16865.0,16979.0	-2.336037
202405130903	202405130903	16991.0,17103.0	0.000000
202405130903	202405130903	17115.0,17229.0	2.160426
202405130903	202405130903	17241.0,17353.0	0.000000
202405130903	202405130903	17365.0,17479.0	-2.336318
202405130903	202405130903	17491.0,17603.0	0.000000
202405130903	202405130903	17615.0,17729.0	2.160353
202405130903	202405130903	17741.0,17853.0	0.000000
202405130903	202405130903	17865.0,17979.0	-2.336086
202405130903	202405130903	17991.0,18103.0	0.000000
202405130903	202405130903	18115.0,18229.0	2.160644
202405130903	202405130903	18241.0,18353.0	0.000000
202405130903	202405130903	18365.0,18479.0	-2.335896
202405130903	202405130903	18491.0,18603.0	0.000000
202405130903	202405130903	18615.0,18729.0	2.161141
202405130903	202405130903	18741.0,18853.0	0.000000
202405130903	202405130903	18865.0,18979.0	-2.335618
202405130903	202405130903	18991.0,19103.0	0.000000
202405130903	202405130903	19115.0,19229.0	2.160928
202405130903	202405130903	19241.0,19353.0	0.000000
202405130903	202405130903	19365.0,19479.0	-2.335451
202405130903	202405130903	19491.0,19603.0	0.000000
202405130903	202405130903	19615.0,19729.0	2.161057
202405130903	202405130903	19741.0,19853.0	0.000000
202405130903	202405130903	19865.0,19979.0	-2.335533
202405130903	202405130903	19991.0,20103.0	0.000000
202405130903	202405130903	20115.0,20229.0	2.160979
202405130903	202405130903	20241.0,20353.0	0.000000
202405130903	202405130903	20365.0,20479.0	-2.335708
202405130903	202405130903	20491.0,20603.0	0.000000
202405130903	202405130903	20615.0,20729.0	2.160955
202405130903	202405130903	20741.0,20853.0	0.000000
202405130903	202405130903	20865.0,20979.0	-2.336006
202405130903	202405130903	20991.0,21103.0	0.000000
202405130903	202405130903	21115.0,21229.0	2.160887
202405130903	202405130903	21241.0,21353.0	0.000000
202405130903	202405130903	21365.0,21479.0	-2.336127
202405130903	202405130903	21491.0,21603.0	0.000000
202405130903	202405130903	21615.0,21729.0	2.160775
202405130903	202405130903	21741.0,21853.0	0.000000
202405130903	202405130903	21865.0,21979.0	-2.335799
202405130903	202405130903	21991.0,22103.0	0.000000
202405130903	202405130903	22115.0,22229.0	2.160979
202405130903	202405130903	22241.0,22353.0	0.000000
202405130903	202405130903	22365.0,22479.0	-2.335575
202405130903	202405130903	22491.0,22603.0	0.000000
202405130903	202405130903	22615.0,22729.0	2.161420
202405130903	202405130903	22741.0,22853.0	0.000000
202405130903	202405130903	22865.0,22979.0	-2.335160
202405130903	202405130903	22991.0,23103.0	0.000000
202405130903	202405130903	23115.0,23229.0	2.161458
202405130903	202405130903	23241.0,23353.0	0.000000
202405130903	202405130903	23365.0,23479.0	-2.335284
202405130903	202405130903	23491.0,23603.0	0.000000
202405130903	202405130903	23615.0,23729.0	2.161638
202405130903	202405130903	23741.0,23853.0	0.000000
202405130903	202405130903	23865.0,23979.0	-2.335601
202405130903	202405130903	23991.0,24103.0	0.000000
202405130903	202405130903	24115.0,24229.0	2.161357
202405130903	202405130903	24241.0,24353.0	0.000000
202405130903	202405130903	24365.0,24479.0	-2.335882
202405130903	202405130903	24491.0,24603.0	0.000000
202405130903	202405130903	24615.0,24729.0	2.160637
202405130903	202405130903	24741.0,24853.0	0.000000
202405130903	202405130903	24865.0,24979.0	-2.336035
202405130903	202405130903	24991.0,25103.0	0.000000
202405130903	202405130903	25115.0,25229.0	2.161049
202405130903	202405130903	25241.0,25353.0	0.000000
202405130903	202405130903	25365.0,25479.0	-2.335814
202405130903	202405130903	25491.0,25603.0	0.000000
202405130903	202405130903	25615.0,25729.0	2.161073
202405130903	202405130903	25741.0,25853.0	0.000000
202405130903	202405130903	25865.0,25979.0	-2.335114
202405130903	202405130903	25991.0,26103.0	0.000000
202405130903	202405130903	26115.0,26229.0	2.161783
202405130903	202405130903	26241.0,26353.0	0.000000
202405130903	202405130903	26365.0,26479.0	-2.334760
202405130903	202405130903	26491.0,26603.0	0.000000
202405130903	202405130903	26615.0,26729.0	2.161968
202405130903	202405130903	26741.0,26853.0	0.000000
202405130903	202405130903	26865.0,26979.0	-2.335029
202405130903	202405130903	26991.0,27103.0	0.000000
202405130903	202405130903	27115.0,27229.0	2.161764
202405130903	202405130903	27241.0,27353.0	0.000000
202405130903	202405130903	27365.0,27479.0	-2.334966
202405130903	202405130903	27491.0,27603.0	0.000000
202405130903	202405130903	27615.0,27729.0	2.161475
202405130903	202405130903	27741.0,27853.0	0.000000
202405130903	202405130903	27865.0,27979.0	-2.335422
202405130903	202405130903	27991.0,28103.0	0.000000
202405130903	202405130903	28115.0,28229.0	2.161068
202405130903	202405130903	28241.0,28353.0	0.000000
202405130903	202405130903	28365.0,28479.0	-2.335935
202405130903	202405130903	28491.0,28603.0	0.000000
202405130903	202405130903	28615.0,28729.0	2.160686
202405130903	202405130903	28741.0,28853.0	0.000000
202405130903	202405130903	28865.0,28979.0	-2.336166
202405130903	202405130903	28991.0,29103.0	0.000000
202405130903	202405130903	29115.0,29229.0	2.160986
202405130903	202405130903	29241.0,29353.0	0.000000
202405130903	202405130903	29365.0,29479.0	-2.335783
202405130903	202405130903	29491.0,29603.0	0.000000
202405130903	202405130903	29615.0,29729.0	2.161303
202405130903	202405130903	29741.0,29853.0	0.000000
202405130903	202405130903	29865.0,29973.0	-2.332208
